text,label,label_text,language
"

I am fairly sure that she could obtain citizenship by making an
application for it. It might require immigration to Germany, but
I am almost certain that once applied for citizenship is inevitable
in this case.




More interesting only for your propaganda purposes. I have said several
times now that I don't consider Iran particularly exemplary as a good
Islamic state. We might talk about the rights of people in ""capitalist
secular"" third world countries to give other examples of the lack of
rights in third world countries broadly. Say, for example, Central
American secular capitalist countries whose govt's the US supports
but who Amnesty International has pointed out are human rights vacua.
",0,alt.atheism,en
"
: >EVER HEAR OF
: >BAPTISM AT BIRTH?  If that isn't preying on the young, I don't know what
: >is...
: >
: RB>   
: RB>   No, that's praying on the young.  Preying on the young comes
: RB>   later, when the bright eyed little altar boy finds out what the
: RB>   priest really wears under that chasible.

Does this statement further the atheist cause in some way, surely it's
not intended as wit ...",0,alt.atheism,en
"


	Who does the categorizing?

	
---  

  "" I'd Cheat on Hillary Too.""",0,alt.atheism,en
"Hi, 

the subject says it all. Is there a PD viewer for gl files (for X)?

Thanks
",1,comp.graphics,en
"Please , I need the starting address (pointer) for the beginning 
of the color information (RGB) on VGA mode 68h (that's 68 hex, gee, 
duh!)...

Thanks SOOOO much (hugs and kisses) in advance.....",1,comp.graphics,en
"
This sounds wonderful, but it seems no one either wants to spend time doing
this, or they don't have the power to do so.  For example, I would like
to see a comp.graphics architecture like this:

comp.graphics.algorithms.2d
comp.graphics.algorithms.3d
comp.graphics.algorithms.misc
comp.graphics.hardware
comp.graphics.misc
comp.graphics.software/apps

However, that is almost overkill.  Something more like this would probably
make EVERYONE a lot happier:

comp.graphics.programmer
comp.graphics.hardware
comp.graphics.apps
comp.graphics.misc

It would be nice to see specialized groups devote to 2d, 3d, morphing,
raytracing, image processing, interactive graphics, toolkits, languages,
object systems, etc. but these could be posted to a relevant group or
have a mailing list organized.

That way when someone reads news they don't have to see these subject
headings, which are rather disparate:

System specific stuff ( should be under comp.sys or comp.os.???.programmer ):

	""Need help programming GL""
	""ModeX programming information?""
	""Fast sprites on PC""

Hardware technical stuff:

	""Speed of Weitek P9000""
	""Drivers for SpeedStar 24X""

Applications oriented stuff:

	""VistaPro 3.0 help""
	""How good is 3dStudio?""
	""Best image processing program for Amiga""

Programming oriented stuff:

	""Fast polygon routine needed""
	""Good morphing alogirhtm wanted""
	""Best depth sort for triangles?""
	""Which C++ library to get?""

I wish someone with the power would get a CFD and then a CFV going on
this stuff....this newsgroup needs it.",1,comp.graphics,en
"For some reason I never saw the original post on this thread, but if you are
looking for fast polygon routines on vga on a PC, you really can't go past
the mode X stuff from Dr Dobbs. This code is all p.domain (as far as I know),
and in the original articles, the routines were all presented as dumb vga
routines, and then optimised to modeX with some interesting discussion along
the way.
If you are interested, I could find out more details of the issues in question,
(I have them at home).",1,comp.graphics,en
"
Yeah, Corel Draw and WordPerfect Presentations pretty limited here, too.
	Since there's no (not really) such thing as a decent raster to
vector conversion program, this ""tracing"" technique is about it.  Simple
stuff, like b&w logos, etc. do pretty well, while more complicated stuff
goes haywire.  I suspect (even though I don't write code) that a good
bitmapped to vector conversion program would probably be as big as most
of these application softwares we're using -- but even so, how come one
hasn't been written? (to my knowledge).  I mean, even Hijaak, one of the
commercial industry standards of file conversion, hasn't attempted it yet.",1,comp.graphics,en
"

I use the Diamond SpeedStar 24X in 1024X768X256 mode all of the time.  I 
have NOT found distortions in the cursor.  The cursor is a little jumpy 
from time to time (due to 32 bit access to the swap file), but it is never 
distorted.",2,comp.os.ms-windows.misc,en
"I'm trying to find Tom Haapanen, formerly tom@wes.on.ca
who was the keeper of the FAQ for this newsgroup.
He was working at Watrerloo Engineering Software,
but netfind can't even find that (but it may have
been a uucp connection).  If anyone knows how to
contact Tom, please let me know.",2,comp.os.ms-windows.misc,en
